Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
reikėti,reikėtų,52,300,1278
kuris,kurioje,6,301,1273
veikla,veiklos,120,302,1266
visai,visai,406,303,1265
tas,tie,4,304,1259
s.,s,410,305,1258
būti,būna,1,306,1257
tekti,teko,167,307,1255
informacija,informacijos,145,308,1250
padaryti,padaryti,195,309,1248
trečiadienis,trečiadienį,329,310,1244
gauti,gauti,131,311,1241
taigi,taigi,415,312,1240
labai,labiausiai,36,313,1235
sunkus,sunku,264,314,1234
kitas,kitos,23,315,1232
žmones,žmones,417,316,1230
dėlto,dėlto,418,317,1230
viskas,viską,132,318,1221
diena,dienų,46,319,1219
dirbti,dirba,137,320,1219
rodyti,rodo,343,321,1218
taryba,tarybos,238,322,1217
padėti,padėti,122,323,1213
miestas,mieste,62,324,1211
galė,galės,426,325,1210
asmuo,asmenys,79,326,1209
mirti,mirė,375,327,1208
vaizdas,vaizdo,308,328,1206
paskelbti,paskelbė,189,329,1202
esą,esą,430,330,1201
atrodyti,atrodo,256,331,1199
niekas,niekas,163,332,1195
gerai,geriau,133,333,1192
manyti,manau,222,334,1191
kuris,kurią,6,335,1188
toks,tokios,33,336,1187
toks,tokie,33,337,1184
norėti,nori,111,338,1183
liga,ligos,152,339,1182
namas,namų,74,340,1174
neturėti,neturi,190,341,1171
kuris,kuriame,6,342,1169
siekti,siekiant,96,343,1161
maždaug,maždaug,446,344,1159
vienas,vieno,25,345,1157
sekmadiuo,sekmadienį,448,346,1156
tas,ta,4,347,1152
pradžia,pradžioje,219,348,1151
savęs,save,15,349,1150
koronavirusu,koronavirusu,450,350,1150
oras,oro,303,351,1149
g.,g,454,352,1146
nė,nė,455,353,1144
nebūti,nebus,41,354,1142
darbuotojas,darbuotojų,114,355,1140
greitai,greitai,223,356,1140
darbuotojas,darbuotojai,114,357,1139
nuolat,nuolat,462,358,1134
galėti,galėjo,11,359,1133
pinigai,pinigų,275,360,1131
darbas,darbus,44,361,1130
skyrius,skyriaus,240,362,1129
klaipėda,klaipėdoje,56,363,1126
automobilis,automobilių,127,364,1124
paslauga,paslaugų,171,365,1123
e.,e,469,366,1122
partija,partijos,224,367,1117
reikalas,reikalų,280,368,1115
asmuo,asmenų,79,369,1114
situacija,situaciją,104,370,1105
gyvenimas,gyvenimą,89,371,1099
joks,jokių,228,372,1088
pradėti,pradėti,100,373,1085
toks,tokio,33,374,1084
aš,mus,10,375,1084
trys,tris,157,376,1082
šalia,šalia,488,377,1082
galimybė,galimybę,101,378,1081
ūkis,ūkio,269,379,1081
aplinka,aplinkos,199,380,1080
vien,vien,492,381,1079
šis,šioje,7,382,1078
būtinas,būtina,325,383,1077
laisvė,laisvės,396,384,1073
tas,tos,4,385,1070
prezidentas,prezidentas,160,386,1066
siekti,siekia,96,387,1066
kitas,kitus,23,388,1065
mokykla,mokyklos,172,389,1064
eurų,eurų,497,390,1063
pasakoti,pasakoja,178,391,1063
du,dviejų,80,392,1059
dalis,dalį,77,393,1056
sąjunga,sąjungos,412,394,1053
darbas,darbų,44,395,1051
jūs,jūs,501,396,1051
tarnyba,tarnybos,227,397,1050
veikla,veiklą,120,398,1050
kitaip,kitaip,502,399,1049
pirmas,pirmą,85,400,1043
direktorius,direktorius,314,401,1039
nustatyti,nustatyti,121,402,1038
penktadiuo,penktadienį,506,403,1038
turėti,turės,18,404,1032
trys,trys,157,405,1023
savivaldybė,savivaldybė,78,406,1023
mokslas,mokslo,279,407,1022
kiekvienas,kiekvienas,135,408,1020
būti,esu,1,409,1020
grupė,grupės,153,410,1017
toks,tokį,33,411,1013
atstovas,atstovai,185,412,1012
įvairus,įvairių,175,413,1011
ministerija,ministerijos,173,414,1008
skirti,skirti,107,415,1008
baltarusija,baltarusijos,276,416,1004
lietuvis,lietuvių,265,417,1003
kelias,kelias,155,418,1001
vaikas,vaikams,54,419,1000
sprendimas,sprendimą,90,420,999
tyrimas,tyrimų,81,421,999
esame,esame,522,422,996
puikiai,puikiai,512,423,993
galite,galite,525,424,993
elektra,elektros,487,425,989
turėti,turėti,18,426,989
veikti,veikia,216,427,988
naujas,naują,53,428,987
tas,tų,4,429,984
padėti,padeda,122,430,983
policija,policija,144,431,982
komanda,komandos,231,432,982
vilnius,vilniuje,233,433,982
duomenys,duomenų,113,434,980
aš,mane,10,435,980
galėti,galime,11,436,976
priemonė,priemonės,86,437,971
informacija,informaciją,145,438,968
projektas,projekto,110,439,967
informacija,informacija,145,440,966
švietimas,švietimo,467,441,965
vilnius,vilniaus,233,442,959
rugpjūtis,rugpjūčio,524,443,958
irgi,irgi,541,444,954
diena,dienomis,46,445,951
liepa,liepos,459,446,951
gydymas,gydymo,395,447,946
sprendimas,sprendimas,90,448,945
niekada,niekada,545,449,943
bendrovė,bendrovės,242,450,937
infekcija,infekcijos,281,451,936
reikšti,reiškia,460,452,936
priežiūra,priežiūros,405,453,934
bns,bns,564,454,933
laikas,laikas,55,455,932
kartas,kartus,87,456,927
šis,šiais,7,457,927
teismas,teismo,176,458,927
sausis,sausio,452,459,925
nurodyti,nurodė,243,460,925
priklausyti,priklauso,420,461,925
visgi,visgi,571,462,923
gerokai,gerokai,572,463,922
namas,namo,74,464,919
tapti,tampa,93,465,919
naujas,naujas,53,466,918
gana,gana,570,467,918
darbas,darbas,44,468,918
birželis,birželio,463,469,917
šiek,šiek,578,470,913
užtikrinti,užtikrinti,342,471,912
dėmesys,dėmesio,182,472,910
gegužė,gegužės,574,473,910
koks,koks,71,474,907
