Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
filmski,filmskoj,1057,16119,27
slikati,slikati,6555,16120,27
zdravlje,zdravljem,407,16121,27
snažno,snažnije,2299,16122,27
drag,dragi,2972,16123,27
glumce,glumcem,8621,16124,27
rebalans,rebalans,5660,16125,27
ograničiti,ograničila,1638,16126,27
straga,straga,10634,16127,27
upitnik,upitnik,5485,16128,27
kušnje,kušnje,9019,16129,27
ostvarenje,ostvarenju,3109,16130,27
luksuzni,luksuzne,7788,16131,27
narodn,narodnog,4707,16132,27
rod,rodom,4476,16133,27
tužiti,tužio,4284,16134,27
tip,tipu,1484,16135,27
britanski,britanskoj,852,16136,27
istar,istri,9913,16137,27
grupni,grupne,6870,16138,27
ležati,ležao,2539,16139,27
medicina,medicina,1431,16140,27
predložen,predložene,9920,16141,27
umoran,umorni,6872,16142,27
recesija,recesija,3422,16143,27
prezentacija,prezentacija,3878,16144,27
recepta,recepte,7657,16145,27
prodavati,prodavala,2089,16146,27
stol,stolova,1254,16147,27
konačan,konačnog,1259,16148,27
rezervirati,rezervirana,3757,16149,27
suditi,sudi,1582,16150,27
prodati,prodala,1219,16151,27
boravak,boravkom,1087,16152,27
pristupiti,pristupilo,2603,16153,27
azerbajdžan,azerbajdžan,5234,16154,27
odabraan,odabranim,5704,16155,27
raskinuti,raskinuo,5795,16156,27
poražena,poražena,10641,16157,27
predviđen,predviđenom,3120,16158,27
kilograma,kilograme,10154,16159,27
nezavisan,nezavisna,3224,16160,27
važan,važnom,146,16161,27
himan,himne,5519,16162,27
berga,bergama,10381,16163,27
obraditi,obraditi,3328,16164,27
carstvo,carstvo,5505,16165,27
kriza,krizama,350,16166,27
kartica,karticama,2154,16167,27
glasač,glasača,4683,16168,27
zabraniti,zabranile,1446,16169,27
izvijestiti,izvijestile,525,16170,27
vozan,vozni,7387,16171,27
partnera,partnerom,7491,16172,27
učinkoviti,učinkoviti,6357,16173,27
legendaran,legendarne,1785,16174,27
udžbenik,udžbenika,5956,16175,27
nagrađivati,nagrađivani,5331,16176,27
postava,postavu,4404,16177,27
saznajati,saznaje,10658,16178,27
slijetanje,slijetanja,6698,16179,27
predviditi,predvidio,5289,16180,27
predaj,predaje,7766,16181,27
povorka,povorka,6614,16182,27
bacanje,bacanje,4125,16183,27
prognoza,prognozama,2465,16184,27
balet,balet,6305,16185,27
tulum,tulum,7604,16186,27
balon,balon,6360,16187,27
staviti,stavljeni,575,16188,27
ban,ban,5731,16189,27
korejski,korejski,6062,16190,27
moratorija,moratorija,9438,16191,27
minus,minusu,2980,16192,27
nedjeljni,nedjeljni,5237,16193,27
superkup,superkup,7406,16194,27
postignut,postignuta,4714,16195,27
rezanje,rezanja,4828,16196,27
uključiti,uključe,978,16197,27
greška,greška,2642,16198,27
nekakav,nekakvu,3057,16199,27
riža,riža,6701,16200,27
kantrid,kantrida,8856,16201,27
preskočiti,preskočiti,4696,16202,27
ogranak,ogranak,5841,16203,27
gradonačelnik,gradonačelniku,560,16204,27
gljiva,gljive,7269,16205,27
primaran,primarna,3379,16206,27
niki,nikog,8361,16207,27
povećati,povećat,720,16208,27
kapacitete,kapacitetima,9051,16209,27
sveučilišni,sveučilišni,4401,16210,27
suvlasnik,suvlasnik,6915,16211,27
pravac,pravac,3246,16212,27
komemoracija,komemoracije,4223,16213,27
izbjeglica,izbjeglicama,3136,16214,27
odlučivanje,odlučivanja,4808,16215,27
pomorski,pomorskog,3907,16216,27
zaostavati,zaostaje,10680,16217,27
osloboditi,oslobodio,2275,16218,27
demokratski,demokratskih,1512,16219,27
topli,toplim,5696,16220,27
dugivati,duguje,10681,16221,27
vlakna,vlakna,10682,16222,27
medijski,medijsku,1707,16223,27
nastupati,nastupala,1030,16224,27
remija,remija,7805,16225,27
prvakinje,prvakinja,7544,16226,27
pridruživati,pridružuje,8871,16227,27
skijanje,skijanju,3954,16228,27
osjećaje,osjećajem,10686,16229,27
bezuspješno,bezuspješno,10688,16230,27
zovko,zovko,10689,16231,27
otkriveni,otkriveni,10691,16232,27
časnik,časnik,5931,16233,27
zoran,zoranu,1828,16234,27
jedanaesterac,jedanaesterac,4742,16235,27
njeni,njenog,10694,16236,27
putnički,putničkog,3195,16237,27
inozeman,inozemni,3149,16238,27
htv,htv,10696,16239,27
pozliti,pozlilo,10433,16240,27
pantovčak,pantovčaka,3390,16241,27
dozvoliti,dozvoljen,2408,16242,27
bura,buru,2955,16243,27
preostati,preostala,3394,16244,27
profesionalan,profesionalnoj,1375,16245,27
ušted,ušteda,9720,16246,27
mati,maju,6713,16247,27
ruševina,ruševinama,6152,16248,27
rijetak,rijetka,5741,16249,27
naputak,naputke,4418,16250,27
macronti,macron,10698,16251,27
branitelji,braniteljima,10701,16252,27
prvijenac,prvijenac,8688,16253,27
bubreg,bubrega,10193,16254,27
kvalitet,kvaliteta,5147,16255,27
odmjeriti,odmjeriti,6524,16256,27
uređena,uređena,10703,16257,27
okrući,okrugli,8692,16258,27
čestitka,čestitke,5284,16259,27
sitan,sitnih,3243,16260,27
štetni,štetnih,10705,16261,27
prekrasni,prekrasne,7075,16262,27
pokušati,pokušamo,479,16263,27
blag,blagom,1997,16264,27
mentalan,mentalnog,2544,16265,27
rotor,rotora,5557,16266,27
obilaziti,obilaze,3677,16267,27
pošast,pošasti,7552,16268,27
materijalan,materijalnu,2573,16269,27
destinacija,destinacijama,2165,16270,27
davati,davala,808,16271,27
pernar,pernar,9278,16272,27
čestitak,čestitku,7820,16273,27
bris,brisevi,5142,16274,27
pristupiti,pristupili,2603,16275,27
putovnica,putovnice,4749,16276,27
dozvoljavati,dozvoljava,6534,16277,27
vjerno,vjerno,10202,16278,27
neuobičajen,neuobičajeno,5645,16279,27
prevezeno,prevezeno,10710,16280,27
dijeljenje,dijeljenje,6265,16281,27
novooboljelih,novooboljelih,10711,16282,27
impresivan,impresivan,4853,16283,27
podravski,podravske,6011,16284,27
