Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
plutselig,plutselig,999,975,433
angrep,angrepet,388,976,433
håp,håp,815,977,433
sør,sør,981,978,433
avgjørende,avgjørende,1020,979,433
vei,veier,121,980,432
økonomisk,økonomiske,539,981,432
omtrent,omtrent,1023,982,432
avis,avisa,275,983,432
problem,problem,238,984,432
nødvendig,nødvendig,807,985,431
kropp,kroppen,798,986,431
ønske,ønske,116,987,431
hvilken,hvilken,383,988,430
fin,fint,432,989,430
min,mine,234,990,430
ungdom,ungdom,477,991,430
leve,lever,493,992,429
såkalt,såkalte,683,993,429
manager,manager,841,994,429
lære,lære,551,995,429
retning,retning,877,996,428
legge,legges,96,997,427
skrive,skrive,94,998,427
selve,selve,1029,999,427
bok,bok,319,1000,427
by,by,216,1001,426
situasjon,situasjon,283,1002,426
nær,nærmest,212,1003,425
slags,slags,1032,1004,425
kommune,kommuner,138,1005,425
normal,normalt,695,1006,425
utvikling,utviklingen,547,1007,423
buss,bussen,541,1008,423
kamp,kampene,86,1009,422
føre,ført,254,1010,422
bestemme,bestemt,436,1011,422
redde,reddet,589,1012,421
gjennomføre,gjennomført,460,1013,421
