Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
ti,vas,136,403,1074
velik,velika,40,404,1070
evropski,evropske,98,405,1068
leten,letni,213,406,1064
kdaj,kdaj,603,407,1064
kmalu,kmalu,605,408,1062
ravno,ravno,606,409,1059
številen,številne,165,410,1057
ura,urah,87,411,1054
dober,dobro,64,412,1053
obdobje,obdobju,274,413,1047
nov,nova,25,414,1046
dobiti,dobil,119,415,1043
mesec,mesecih,116,416,1043
jasen,jasno,390,417,1041
vsak,vsako,91,418,1041
kilometer,kilometrov,451,419,1040
njegov,njegovih,60,420,1039
nov,nov,25,421,1039
covid,covid,130,422,1037
biti,nismo,0,423,1037
iti,šlo,66,424,1033
družba,družbe,174,425,1030
okvir,okviru,530,426,1024
slovenski,slovenska,52,427,1021
september,septembra,533,428,1019
sam,sami,123,429,1014
januar,januarja,566,430,1012
področje,področju,313,431,1009
predlog,predlog,259,432,1009
podjetje,podjetje,103,433,1007
ministrstvo,ministrstva,152,434,1006
drug,drugem,27,435,1004
priti,prišlo,102,436,1002
širjenje,širjenja,349,437,999
oprema,opreme,307,438,998
svoj,svoji,33,439,998
ura,uro,87,440,997
prvi,prvih,43,441,997
skupno,skupno,647,442,993
zdeti,zdi,416,443,991
nihče,nihče,479,444,990
otrok,otroci,93,445,990
april,aprila,550,446,989
oseba,oseb,147,447,986
tisoč,tisoč,613,448,981
trump,trump,574,449,979
sedem,sedem,452,450,979
zgoditi,zgodilo,247,451,978
javen,javno,110,452,978
kateri,katerimi,42,453,969
sredstvo,sredstev,283,454,968
ministrstvo,ministrstvu,152,455,967
imeti,nima,20,456,963
jutri,jutri,667,457,962
potekati,poteka,168,458,959
dejati,dejala,99,459,958
dolgo,dolgo,458,460,957
meja,meje,195,461,955
julij,julija,542,462,949
en,enem,51,463,949
december,decembra,587,464,947
mesec,mesec,116,465,944
tu,tu,665,466,944
poročati,poroča,215,467,943
žrtev,žrtev,414,468,943
zapisati,zapisali,252,469,941
ostajati,ostaja,379,470,939
ponovno,ponovno,691,471,937
del,delu,106,472,936
smrt,smrti,436,473,935
priti,prišel,102,474,925
praviti,pravijo,128,475,924
agencija,agencija,264,476,922
èe,èe,704,477,921
podlaga,podlagi,507,478,921
dober,najboljši,64,479,921
svoj,svojem,33,480,920
morati,morala,47,481,919
velik,veliki,40,482,919
dobro,bolje,132,483,918
ameriški,ameriški,179,484,914
razvoj,razvoj,371,485,913
težko,težko,626,486,910
cilj,cilj,296,487,910
oktober,oktobra,592,488,908
premier,premier,491,489,906
koliko,koliko,719,490,906
sezona,sezono,120,491,903
tisti,tiste,97,492,903
mnenje,mnenju,351,493,901
osem,osem,541,494,895
drug,druga,27,495,894
vodja,vodja,520,496,894
četrtek,četrtek,641,497,893
spleten,spletni,253,498,887
pomoč,pomoči,148,499,885
kazati,kažejo,206,500,884
imeti,nimajo,20,501,882
država,državo,44,502,882
liga,ligi,182,503,880
sredi,sredi,737,504,880
naš,naših,78,505,875
država,državah,44,506,875
prostor,prostor,156,507,873
nov,novem,25,508,873
moči,more,137,509,871
avgust,avgusta,651,510,869
skupina,skupina,111,511,866
sto,sto,739,512,865
nekdanji,nekdanji,324,513,863
državen,državni,155,514,859
opraviti,opravili,292,515,858
slovenski,slovenskega,52,516,857
kranj,kranj,582,517,855
projekt,projekt,202,518,850
podpora,podporo,417,519,849
sprememba,spremembe,256,520,849
velik,velike,40,521,847
javen,javnih,110,522,846
on,njem,10,523,844
drugače,drugače,764,524,844
enkrat,enkrat,765,525,843
ura,ur,87,526,843
število,števila,101,527,839
prvi,prvega,43,528,835
postati,postal,193,529,835
kateri,katerim,42,530,831
javnost,javnost,323,531,830
opozarjati,opozarjajo,330,532,829
sam,sama,123,533,828
trg,trgu,303,534,827
preveč,preveč,779,535,826
javnost,javnosti,323,536,825
evropski,evropski,98,537,825
naš,naša,78,538,824
deti,denimo,767,539,824
otrok,otroke,93,540,824
vseeno,vseeno,780,541,823
zlasti,zlasti,782,542,820
naš,naši,78,543,820
priti,prišli,102,544,820
