Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
jou,jouw,380,667,571
openbaar,openbaar,462,668,570
volgen,volgen,129,669,570
zwaar,zware,293,670,569
zoek,zoek,655,671,569
feit,feit,397,672,569
rechtbank,rechtbank,645,673,568
speler,spelers,456,674,567
burger,burgers,482,675,567
groot,groter,61,676,566
half,half,396,677,565
enorm,enorme,318,678,563
regel,regels,529,679,562
steun,steun,659,680,560
voorzitter,voorzitter,650,681,559
voorlopig,voorlopig,583,682,558
moeten,moesten,38,683,558
wellicht,wellicht,669,684,557
proberen,proberen,263,685,557
gaan,gingen,31,686,557
keuze,keuze,515,687,556
termijn,termijn,661,688,555
westen,westen,674,689,554
gevoel,gevoel,675,690,554
directeur,directeur,658,691,553
economie,economie,654,692,553
beeld,beelden,335,693,552
waarvan,waarvan,684,694,546
uiteraard,uiteraard,687,695,545
nacht,nacht,532,696,545
beleid,beleid,688,697,545
rood,rode,489,698,545
zeven,zeven,564,699,545
gemeente,gemeenten,203,700,545
komen,kom,42,701,544
omgeving,omgeving,666,702,544
zeggen,zeg,54,703,543
los,los,679,704,542
slachtoffer,slachtoffers,323,705,542
en,én,6,706,541
aanwezig,aanwezig,548,707,541
medewerker,medewerkers,537,708,540
oud,oud,189,709,540
buurt,buurt,663,710,538
Frans,franse,682,711,535
schade,schade,691,712,534
avond,avond,459,713,533
economisch,economische,547,714,532
acht,acht,521,715,531
nemen,nam,118,716,530
vriend,vrienden,418,717,530
apple,apple,702,718,528
houden,gehouden,102,719,527
beschikbaar,beschikbaar,636,720,527
lezen,lezen,320,721,526
voorbij,voorbij,447,722,526
betrekken,betrokken,560,723,524
punt,punt,283,724,523
vorm,vorm,566,725,523
grens,grens,490,726,523
belang,belang,536,727,523
oekraïense,oekraïense,707,728,521
een,ene,3,729,520
dicht,dicht,641,730,518
vertrouwen,vertrouwen,638,731,518
overal,overal,715,732,517
strijd,strijd,706,733,517
volgen,volgend,129,734,516
spraak,sprake,705,735,515
student,studenten,579,736,514
woord,woorden,355,737,514
juist,juiste,230,738,512
geschiedenis,geschiedenis,724,739,510
beginnen,begonnen,153,740,509
mens,mens,57,741,508
hoogte,hoogte,721,742,506
bevolking,bevolking,723,743,506
personeel,personeel,718,744,506
winst,winst,630,745,505
geval,gevallen,221,746,504
regio,regio,733,747,504
vlak,vlak,673,748,503
blijven,bleef,85,749,502
contact,contact,609,750,502
bieden,bieden,381,751,501
zwart,zwarte,477,752,501
a,a,740,753,500
volk,volk,685,754,499
niveau,niveau,683,755,498
last,last,647,756,498
raad,raad,708,757,498
verliezen,verloren,294,758,495
belangrijk,belangrijkste,173,759,495
makkelijk,makkelijk,466,760,494
ondertussen,ondertussen,751,761,494
eindelijk,eindelijk,752,762,493
qua,qua,753,763,493
hoor,hoor,754,764,493
wit,witte,526,765,492
morgen,morgen,703,766,492
gisteren,gisteren,756,767,491
stap,stap,454,768,490
verwachten,verwachten,250,769,490
provincie,provincie,593,770,489
nationaal,nationale,570,771,489
muziek,muziek,749,772,488
veiligheid,veiligheid,757,773,488
afstand,afstand,652,774,488
rust,rust,758,775,487
krijgen,kregen,65,776,485
woning,woningen,331,777,482
leren,leren,427,778,482
succes,succes,695,779,480
noemen,noemen,231,780,478
daarin,daarin,773,781,478
lucht,lucht,771,782,478
baan,baan,565,783,478
allerlei,allerlei,774,784,478
zoon,zoon,603,785,476
gaan,gegaan,31,786,475
asielzoeker,asielzoekers,725,787,474
artikel,artikel,656,788,473
praten,praten,543,789,472
fc,fc,788,790,471
reactie,reactie,494,791,470
jou,jou,380,792,470
lid,leden,476,793,470
voetbal,voetbal,796,794,469
samenleving,samenleving,767,795,469
veilig,veilig,538,796,469
liefst,liefst,795,797,468
bestaan,bestaan,252,798,468
trouwens,trouwens,797,799,468
waarde,waarde,611,800,467
leeftijd,leeftijd,759,801,467
voelen,voelt,271,802,467
immers,immers,800,803,466
natuur,natuur,741,804,465
systeem,systeem,662,805,465
hoog,hogere,115,806,464
kijken,kijkt,135,807,462
vragen,vraagt,222,808,461
deur,deur,518,809,461
oranje,oranje,812,810,461
bouwen,bouwen,441,811,460
bewoner,bewoners,699,812,460
product,producten,534,813,459
trekken,trekken,337,814,459
bezoek,bezoek,732,815,458
persoon,personen,360,816,458
vertellen,vertellen,223,817,458
mogelijk,mogelijke,128,818,457
film,film,587,819,456
app,app,770,820,456
zolang,zolang,823,821,456
divers,diverse,801,822,455
militair,militaire,434,823,454
gemiddeld,gemiddeld,429,824,454
top,top,824,825,452
winter,winter,763,826,452
vier,vierde,199,827,451
risico,risico,834,828,450
buitenlands,buitenlandse,777,829,449
twintig,twintig,764,830,448
vragen,gevraagd,222,831,447
zomaar,zomaar,840,832,445
macht,macht,810,833,445
samenwerking,samenwerking,803,834,445
noemen,noemt,231,835,444
gemiddeld,gemiddelde,429,836,444
wet,wet,677,837,444
contract,contract,680,838,443
chinees,chinese,730,839,443
Apple,apple,843,840,442
winnen,gewonnen,197,841,442
tegenover,tegenover,844,842,442
bang,bang,799,843,442
liggen,lag,131,844,441
lichaam,lichaam,744,845,440
werknemer,werknemers,731,846,440
gek,gek,668,847,440
raken,geraakt,255,848,439
lastig,lastig,601,849,438
aandeel,aandeel,503,850,438
betalen,betaald,214,851,438
binnenkort,binnenkort,852,852,437
dochter,dochter,670,853,437
vallen,viel,176,854,437
gebeuren,gebeurde,191,855,437
geweld,geweld,853,856,436
voorbeeld,voorbeeld,653,857,435
onderdeel,onderdeel,633,858,435
model,model,523,859,434
verkopen,verkocht,387,860,433
verkopen,verkopen,387,861,432
dienst,dienst,546,862,432
