Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
open,opened,258,869,701
letter,letters,465,870,701
your,your,976,871,698
marriage,marriage,877,872,698
initial,initial,936,873,697
turn,turned,326,874,697
article,article,662,875,696
chinese,chinese,987,876,695
ask,asked,564,877,694
empire,empire,922,878,693
value,values,285,879,692
mission,mission,733,880,692
japanese,japanese,991,881,692
inside,inside,990,882,690
remove,removed,571,883,690
room,room,792,884,690
initially,initially,1000,885,688
signal,signal,565,886,688
poor,poor,895,887,686
royal,royal,969,888,686
material,materials,330,889,686
era,era,960,890,685
authority,authority,629,891,685
annual,annual,1001,892,684
environment,environment,796,893,684
volume,volume,755,894,683
woman,woman,221,895,682
collection,collection,812,896,682
probably,probably,1014,897,681
medical,medical,1015,898,681
appoint,appointed,846,899,679
unlike,unlike,1018,900,679
idea,ideas,408,901,678
activity,activities,506,902,678
relation,relations,710,903,677
island,islands,348,904,675
heat,heat,858,905,675
beginning,beginning,949,906,675
federal,federal,1019,907,675
something,something,1022,908,675
note,notes,287,909,674
soldier,soldiers,836,910,674
cell,cell,444,911,673
offer,offered,360,912,673
expect,expected,824,913,672
call,call,86,914,671
allow,allowing,129,915,671
whom,whom,1034,916,670
female,female,708,917,668
club,club,732,918,668
frequency,frequency,783,919,668
station,station,521,920,666
contain,contain,255,921,664
currently,currently,1043,922,663
cut,cut,743,923,663
activity,activity,506,924,662
remain,remaining,164,925,662
troop,troops,971,926,661
beyond,beyond,1047,927,661
cultural,cultural,1048,928,661
race,race,700,929,660
previously,previously,1049,930,660
believe,believe,325,931,660
immediately,immediately,1052,932,660
refuse,refused,795,933,659
greek,greek,908,934,659
hit,hit,726,935,657
definition,definition,822,936,657
discover,discovered,757,937,656
worker,workers,904,938,656
novel,novel,705,939,655
user,user,561,940,655
famous,famous,1059,941,653
tell,told,493,942,653
effective,effective,1057,943,653
application,application,461,944,652
risk,risk,883,945,651
east,east,1061,946,651
prevent,prevent,637,947,651
question,question,575,948,650
technique,techniques,580,949,649
model,models,310,950,649
vote,vote,558,951,647
nuclear,nuclear,1067,952,647
agree,agreed,672,953,647
set,sets,130,954,647
eastern,eastern,1069,955,647
native,native,940,956,647
billion,billion,1023,957,646
region,regions,344,958,645
sun,sun,1055,959,645
centre,centre,881,960,644
agreement,agreement,862,961,644
supply,supply,556,962,643
phase,phase,814,963,643
go,going,157,964,641
result,resulted,110,965,640
face,face,536,966,639
organization,organization,610,967,638
occur,occurs,281,968,637
tradition,tradition,709,969,637
nation,nation,572,970,635
care,care,1012,971,635
purpose,purpose,626,972,635
reference,reference,631,973,634
human,humans,220,974,633
note,noted,287,975,633
table,table,882,976,633
winter,winter,909,977,633
chemical,chemical,891,978,631
degree,degree,685,979,630
depend,depending,541,980,630
device,device,550,981,629
plant,plants,509,982,629
become,becomes,60,983,629
critical,critical,1094,984,629
blue,blue,811,985,628
move,moving,186,986,628
serve,serve,317,987,627
flight,flight,848,988,627
digital,digital,1098,989,626
hard,hard,905,990,626
primarily,primarily,1099,991,626
give,gives,77,992,626
heart,heart,998,993,626
week,weeks,581,994,626
grow,growing,329,995,625
mean,mean,193,996,625
flow,flow,799,997,625
say,says,114,998,624
claim,claimed,339,999,622
difference,difference,600,1000,622
address,address,630,1001,621
limited,limited,1104,1002,621
completely,completely,1105,1003,621
equal,equal,992,1004,620
speech,speech,943,1005,620
become,becoming,60,1006,620
weapon,weapons,764,1007,620
leave,leave,163,1008,619
output,output,993,1009,619
deal,deal,635,1010,618
reach,reach,336,1011,617
friend,friends,615,1012,617
charge,charge,538,1013,617
require,requires,180,1014,617
share,share,505,1015,616
suggest,suggested,449,1016,616
effort,efforts,582,1017,616
election,election,658,1018,615
spread,spread,932,1019,615
tax,tax,1027,1020,615
cover,cover,429,1021,614
rise,rise,483,1022,614
resource,resources,873,1023,614
left,left,1120,1024,613
except,except,1103,1025,613
positive,positive,1111,1026,613
jewish,jewish,1123,1027,612
decision,decision,753,1028,611
c,c,1125,1029,611
weight,weight,970,1030,610
easily,easily,1133,1031,609
give,giving,77,1032,608
command,command,761,1033,607
situation,situation,788,1034,607
upper,upper,1132,1035,607
nor,nor,1138,1036,606
content,content,898,1037,606
develop,develop,200,1038,606
power,powers,126,1039,605
religion,religion,897,1040,605
union,union,926,1041,605
magazine,magazine,957,1042,604
fuel,fuel,953,1043,603
device,devices,550,1044,603
fully,fully,1144,1045,603
travel,travel,485,1046,603
tour,tour,790,1047,602
christian,christian,1031,1048,601
car,car,614,1049,600
stone,stone,844,1050,600
negative,negative,1143,1051,598
responsible,responsible,1152,1052,598
leave,leaving,163,1053,597
dead,dead,1154,1054,596
quite,quite,1155,1055,595
birth,birth,995,1056,594
transport,transport,829,1057,594
combine,combined,740,1058,594
win,win,260,1059,593
keep,kept,394,1060,593
italian,italian,1118,1061,593
try,tried,446,1062,593
contrast,contrast,945,1063,592
mainly,mainly,1158,1064,592
version,versions,289,1065,591
family,families,198,1066,591
disease,disease,885,1067,591
rate,rates,312,1068,590
reduce,reduce,363,1069,590
news,news,1161,1070,589
feel,felt,619,1071,589
green,green,1085,1072,589
card,cards,622,1073,586
play,playing,128,1074,586
temperature,temperatures,416,1075,586
meaning,meaning,1004,1076,585
professional,professional,1021,1077,584
come,comes,140,1078,582
target,target,684,1079,581
factor,factors,625,1080,581
exchange,exchange,917,1081,581
competition,competition,956,1082,580
big,big,771,1083,580
element,element,366,1084,580
action,actions,387,1085,580
street,street,766,1086,580
write,write,116,1087,579
overall,overall,1172,1088,579
cause,causes,171,1089,579
pass,pass,343,1090,578
instance,instance,937,1091,577
appearance,appearance,910,1092,577
motion,motion,1068,1093,577
serious,serious,1177,1094,577
why,why,1178,1095,577
crew,crew,1008,1096,576
avoid,avoid,807,1097,575
port,port,868,1098,575
help,helped,318,1099,575
brother,brother,736,1100,575
maximum,maximum,1180,1101,575
standard,standards,302,1102,575
scene,scene,787,1103,574
consist,consists,533,1104,574
male,male,769,1105,573
unique,unique,1186,1106,573
focus,focus,592,1107,572
kind,kind,890,1108,571
classical,classical,1191,1109,571
connect,connected,665,1110,570
administration,administration,1150,1111,570
place,places,139,1112,569
drive,drive,510,1113,569
ice,ice,1168,1114,568
library,library,977,1115,568
plant,plant,509,1116,567
distribution,distribution,1070,1117,567
present,presented,272,1118,566
scale,scale,896,1119,566
goal,goal,798,1120,566
actual,actual,1196,1121,566
reaction,reaction,841,1122,565
claim,claim,339,1123,564
constant,constant,1121,1124,564
daughter,daughter,973,1125,562
powerful,powerful,1203,1126,562
price,price,711,1127,562
impact,impact,1002,1128,561
damage,damage,759,1129,561
latter,latter,1205,1130,560
advantage,advantage,930,1131,560
team,teams,265,1132,558
behavior,behavior,1072,1133,557
regional,regional,1211,1134,556
alone,alone,1213,1135,556
look,look,545,1136,555
freedom,freedom,1160,1137,555
contact,contact,911,1138,555
station,stations,521,1139,554
territory,territory,866,1140,554
meet,meet,421,1141,554
round,round,929,1142,554
live,lived,230,1143,554
philosophy,philosophy,1170,1144,554
attention,attention,1198,1145,554
relative,relative,988,1146,553
month,month,353,1147,553
presence,presence,1218,1148,553
figure,figure,668,1149,553
plan,plans,333,1150,553
perhaps,perhaps,1221,1151,553
house,houses,304,1152,552
pay,paid,540,1153,552
