Morph-base,Morph-inflected
早退,早退
訪問,訪問
寺子屋,寺子屋
秘薬,秘薬
溶かす,溶かす
納,納
出歩く,出歩く
七草,七草
下り,下り
神頼み,神頼み
醤油,醤油
たたずまい,たたずまい
陰口,陰口
向う,向っ
供え物,供え物
無道,無道
置き忘れる,置き忘れ
晩さん,晩さん
ショートケーキ,ショートケーキ
ふれる,ふれ
作り上げる,作り上げる
家業,家業
ゆでる,ゆで
名人,名人
打線,打線
打者,打者
ファール,ファール
革新,革新
牧場,牧場
甘酒,甘酒
凍りつく,凍りつい
タレ,タレ
薄切り,薄切り
折半,折半
うい,うく
治める,治め
憑坐,憑坐
引手,引手
足踏み,足踏み
抑え込む,抑え込み
さっち,さっち
乱取り,乱取り
射手,射手
さんする,さんせ
発酵,発酵
味わい,味わい
ヒレ,ヒレ
パン粉,パン粉
炒める,炒める
アーク,アーク
路銀,路銀
応戦,応戦
まんまと,まんまと
中位,中位
脱がす,脱がさ
海溝,海溝
老眼鏡,老眼鏡
道連れ,道連れ
入り江,入り江
かずき,かずき
メード,メード
蛮族,蛮族
ほた,ほた
十字架,十字架
イオン,イオン
ライチ,ライチ
クロム,クロム
ヤング,ヤング
インデックス,インデックス
免除,免除
おいそれと,おいそれと
廃人,廃人
ゴキブリ,ゴキブリ
簡潔,簡潔
引き揚げる,引き揚げ
寝かせる,寝かせる
レンジ,レンジ
コタツ,コタツ
育児,育児
アマゾン,アマゾン
ワニ,ワニ
詰め替える,詰め替え
大立ち回り,大立ち回り
こぼれる,こぼれる
割り箸,割り箸
パック,パック
財政,財政
跳ねる,跳ね
しゃべれる,しゃべれる
隠せる,隠せ
暴く,暴く
手間取る,手間取っ
吸い込む,吸い込ん
蛇口,蛇口
色合い,色合い
内装,内装
洗練,洗練
カフェオレ,カフェオレ
スケール,スケール
盗み聞き,盗み聞き
既成,既成
お尋ね,お尋ね
有益,有益
しゃれる,しゃれ
インストール,インストール
重労働,重労働
番台,番台
割く,割く
煩わせる,煩わせ
足かせ,足かせ
いじらしい,いじらしい
生やす,生やし
憂い,憂い
促す,促す
早まる,早まっ
賛美,賛美
送る,送れ
負かす,負かす
テキスト,テキスト
在り方,在り方
人心,人心
美しい,美しき
豆腐,豆腐
月曜,月曜
暦,暦
原付,原付
来す,来さ
何だかんだ,何だかんだ
放る,放っ
太刀打ち,太刀打ち
武運,武運
正門,正門
日差し,日差し
居間,居間
明朝,明朝
結納,結納
嫁ぐ,嫁が
夜間,夜間
注ぐ,注ぎ
現す,現さ
形跡,形跡
持ち歩く,持ち歩く
選ぶ,選べ
反論,反論
研ぎ澄ます,研ぎ澄ませ
予期,予期
居所,居所
出過ぎる,出過ぎ
古着,古着
出かける,出かけよ
つゆ,つゆ
側近,側近
とがめる,とがめ
想う,想っ
仕立てる,仕立てる
あれる,あれ
持ち帰り,持ち帰り
とくに,とくに
贈る,贈り
おし,おし
賜る,賜り
つまらない,つまらな
痛み入る,痛み入る
抱え込む,抱え込ん
書き,書き
格闘,格闘
備わる,備わっ
精通,精通
救護,救護
ゆるい,ゆるい
重々,重々
下敷き,下敷き
鋭利,鋭利
切る,切れ
あっけない,あっけなく
よみがえる,よみがえっ
罰する,罰する
摂政,摂政
従属,従属
おしい,おしい
待遇,待遇
健気,健気
愛しい,愛しい
収束,収束
にわたって,にわたって
次代,次代
見違える,見違え
感激,感激
鋼鉄,鋼鉄
魂魄,魂魄
阻害,阻害
十字,十字
一人ぼっち,一人ぼっち
折る,折り
瞬時,瞬時
行き場,行き場
呼称,呼称
蓄える,蓄え
せっかち,せっかち
下す,下さ
表面,表面
渡り合える,渡り合える
隠密,隠密
司令,司令
淋しい,淋しい
立て直す,立て直す
つる,つる
屈す,屈し
敬礼,敬礼
存亡,存亡
尻軽,尻軽
突っ込む,突っ込ま
郵便,郵便
めんどい,めんどい
長湯,長湯
閉じ込める,閉じ込める
助け合う,助け合っ
やられる,やられる
乗じる,乗じ
狩る,狩ら
統率,統率
人事,人事
告げる,告げる
鼓膜,鼓膜
果てしない,果てしなく
弱まる,弱まっ
パワーアップ,パワーアップ
同体,同体
よみ,よみ
蛇尾,蛇尾
呼,呼
三下,三下
本望,本望
撃ち込む,撃ち込ん
絶つ,絶た
はおる,はおら
怨嗟,怨嗟
脆い,脆
吾輩,吾輩
砕ける,砕ける
算段,算段
みえる,みえる
劣勢,劣勢
シイ,シイ
持,持
羅列,羅列
分子,分子
包囲,包囲
浸食,浸食
鹿,鹿
いう,いお
踏まえる,踏まえ
乗っ取る,乗っ取っ
いざなう,いざなう
あおる,あおる
腹の中,腹の中
養分,養分
はらう,はらわ
断然,断然
いたいけ,いたいけ
公衆,公衆
執念,執念
魅入る,魅入ら
震え,震え
外せる,外せる
退路,退路
労力,労力
きれい事,きれい事
祓え,祓え
人付き合い,人付き合い
覗く,覗い
合わす,合わさ
シンクロ,シンクロ
浸す,浸し
そぐ,そぎ
またせる,またせ
マット,マット
いち早い,いち早く
骸,骸
粉砕,粉砕
張り合う,張り合っ
引き取る,引き取ら
同年代,同年代
全身全霊,全身全霊
完膚,完膚
金縛り,金縛り
宣戦,宣戦
さらう,さらう
勝率,勝率
インタビュー,インタビュー
負ける,負けん
われる,われる
漂う,漂う
ダーク,ダーク
定石,定石
ハザード,ハザード
朽ちる,朽ち
歩む,歩み
槌,槌
押しつけ,押しつけ
合計,合計
輪廻,輪廻
古典,古典
いづ,いで
ひらめく,ひらめき
寝る,寝れ
限,限
黄色,黄色
セーラー服,セーラー服
終わる,終わん
サンダル,サンダル
志望校,志望校
こうか,こうか
下ろす,下ろせ
粘土,粘土
確固たる,確固たる
帰れる,帰れよ
金魚,金魚
揺るぐ,揺るが
漏らす,漏らす
セーター,セーター
直球,直球
止む,止ま
おじけづく,おじけづく
ごとし,ごとし
いうなれば,いうなれば
同伴,同伴
貞操,貞操
伏せ,伏せ
落っこちる,落っこち
中型,中型
置く,置け
さえる,さえ
つきまとう,つきまとっ
フレーズ,フレーズ
組み上げる,組み上げ
落ちる,落ちろ
いじり,いじり
似る,似る
多発,多発
損壊,損壊
酒癖,酒癖
ずらかる,ずらかる
重る,重っ
別名,別名
一滴,一滴
回す,回さ
門出,門出
ヤボ,ヤボ
鳴る,鳴り
カジノ,カジノ
壊せる,壊せ
初回,初回
積もる,積もっ
短い,短
頂ける,頂け
お開き,お開き
相合い傘,相合い傘
微,微
揉む,揉み
持ち上げる,持ち上げる
銘じる,銘じ
定食,定食
低い,低かっ
帰省,帰省
にこにこ,にこにこ
人通り,人通り
訴える,訴える
いじる,いじら
糖分,糖分
時間切れ,時間切れ
酔う,酔う
ありがたい,ありがた
古参,古参
乾く,乾く
シーズン,シーズン
落ち度,落ち度
ロマンチック,ロマンチック
ワンピース,ワンピース
臥,臥
問い詰める,問い詰め
変る,変っ
スクール,スクール
断る,断り
柔ら,柔ら
ピュア,ピュア
送り届ける,送り届け
親不孝,親不孝
とっつく,とっつき
資本,資本
ぐるぐる,ぐるぐる
ナウ,ナウ
ドンドン,ドンドン
ハサミ,ハサミ
腹立たしい,腹立たしい
現代っ子,現代っ子
ロケ,ロケ
オファー,オファー
ささる,ささっ
やむ,やむ
泣き顔,泣き顔
惜しむ,惜しん
別世界,別世界
ならでは,ならでは
自堕落,自堕落
策略,策略
大口,大口
おのずと,おのずと
円満,円満
くっつく,くっつき
ひと晩,ひと晩
網羅,網羅
制裁,制裁
激務,激務
宿舎,宿舎
ボディガード,ボディガード
室内,室内
抜き打ち,抜き打ち
暑苦しい,暑苦しい
免じる,免じ
名乗る,名乗り
志願,志願
担う,担っ
気付く,気付け
受け売り,受け売り
一途,一途
増やす,増やさ
委ねる,委ね
留め,留め
手ごろ,手ごろ
はじく,はじい
無線,無線
放す,放す
くさる,くさっ
発覚,発覚
遣う,遣っ
スキャンダル,スキャンダル
結末,結末
忘我,忘我
暴言,暴言
一変,一変
表立つ,表立っ
雇用,雇用
愚人,愚人
つまずく,つまずい
まとまる,まとまる
決めつける,決めつける
議論,議論
噴水,噴水
発砲,発砲
じみる,じみ
借金取り,借金取り
キャンペーン,キャンペーン
心持ち,心持ち
表彰,表彰
ほぐす,ほぐす
比較的,比較的
ウェイ,ウェイ
振り返る,振り返っ
落とし穴,落とし穴
広め,広め
重い,重かっ
埋もれる,埋もれ
ワーッ,ワーッ
判別,判別
家宝,家宝
忘れる,忘れよ
呪う,呪っ
内野,内野
見習う,見習っ
語彙,語彙
培う,培っ
請う,請う
ずうずうしい,ずうずうしい
ちゃう,ちゃわ
ラッパ,ラッパ
ウミウシ,ウミウシ
トンビ,トンビ
喋る,喋っ
それる,それ
売り場,売り場
暴食,暴食
嘆かわしい,嘆かわしい
恥ずかしい,恥ずかしくっ
仕上がり,仕上がり
ぢ,ぢ
どる,どる
快速,快速
深呼吸,深呼吸
起こせる,起こせる
弱火,弱火
けち,けち
虚構,虚構
上着,上着
有休,有休
フォルム,フォルム
挙げる,挙げる
よどみ,よどみ
戸締まり,戸締まり
習性,習性
実証,実証
泣かす,泣かさ
ヒラヒラ,ヒラヒラ
愛称,愛称
押しつぶす,押しつぶさ
置き去り,置き去り
一騎打ち,一騎打ち
ふたつ,ふたつ
建前,建前
欠,欠
かまえる,かまえ
食える,食えよ
踏みつける,踏みつけ
これこれ,これこれ
友だち,友だち
武人,武人
賜,賜
リハビリ,リハビリ
抑え込む,抑え込ん
おう,おわ
毎朝,毎朝
禁忌,禁忌
おまわりさん,おまわりさん
乱入,乱入
伝達,伝達
細か,細か
賄賂,賄賂
煮物,煮物
衛生,衛生
伸び,伸び
予防,予防
そろう,そろえ
古今,古今
自他,自他
大当たり,大当たり
成る,成り
不可視,不可視
うつ,うた
塩味,塩味
いかれる,いかれ
入れ替える,入れ替える
割れ,割れ
膨らむ,膨らま
セルフ,セルフ
垂れる,垂れ
冬場,冬場
レバー,レバー
向かう,向かお
一睡,一睡
封じ込める,封じ込め
手中,手中
づく,づか
揺る,揺ら
親分,親分
利口,利口
へぐ,へい
教わる,教わら
打開,打開
催促,催促
後ろ姿,後ろ姿
二の次,二の次
投げる,投げろ
いじける,いじけ
まるっきり,まるっきり
売り切れ,売り切れ
串,串
串焼き,串焼き
眼球,眼球
当たる,当たん
測る,測る
衆人,衆人
邪法,邪法
繰る,繰り
胡,胡
仙術,仙術
がらみ,がらみ
滑る,滑ら
名づける,名づけ
市長,市長
漂う,漂っ
弊害,弊害
悪鬼,悪鬼
難癖,難癖
エスコート,エスコート
年季,年季
かき乱す,かき乱し
沸く,沸い
てれる,てれる
破裂,破裂
執り行う,執り行う
潮,潮
ぶっきらぼう,ぶっきらぼう
れる,れりゃ
のろける,のろけ
吹っ飛ぶ,吹っ飛ん
浴びせる,浴びせ
聞き分け,聞き分け
薄着,薄着
幼女,幼女
額面,額面
弱音,弱音
挫折,挫折
市内,市内
集計,集計
嫌気,嫌気
病み上がり,病み上がり
お盆,お盆
高嶺,高嶺
憎い,憎い
完敗,完敗
敗退,敗退
動かす,動かせ
ホン,ホン
吊り橋,吊り橋
定時,定時
真意,真意
旅立ち,旅立ち
濃い,濃く
掛かる,掛かっ
砂嵐,砂嵐
腫れる,腫れ
分秒,分秒
キーボード,キーボード
夜勤,夜勤
たい,たくっ
濡らす,濡らし
メーク,メーク
時短,時短
先走る,先走っ
ジャスミン,ジャスミン
仕切る,仕切り
張り付く,張り付い
裏表,裏表
やり直す,やり直す
ゴールデンウイーク,ゴールデンウイーク
歌う,歌わ
サラリーマン,サラリーマン
遠距離,遠距離
買い取る,買い取ら
ほんのり,ほんのり
フェ,フェ
増殖,増殖
ループ,ループ
下ろす,下ろす
強き,強き
さておく,さておき
思い入れ,思い入れ
無職,無職
削る,削り
返る,返っ
昼前,昼前
殺る,殺っ
乗員,乗員
殺める,殺め
しんどい,しんどかっ
ぬく,ぬけ
痩せ我慢,痩せ我慢
緩急,緩急
天与,天与
蠅,蠅
分別,分別
見下す,見下す
冤罪,冤罪
役員,役員
臭い,臭
仮想,仮想
不可侵,不可侵
無条件,無条件
ゴリ押し,ゴリ押し
仏教,仏教
タブー,タブー
ピンピン,ピンピン
核心,核心
ねじ伏せる,ねじ伏せ
年月,年月
イモ,イモ
のうのう,のうのう
しまう,しまお
分かる,分かりゃ
故人,故人
迎え撃つ,迎え撃つ
打ち込む,打ち込み
悪用,悪用
女たらし,女たらし
鎚,鎚
思い知る,思い知る
生まれ変わり,生まれ変わり
すく,すか
大々的,大々的
はいる,はいり
捜し出す,捜し出す
豪勢,豪勢
夢見,夢見
クーデター,クーデター
少量,少量
好機,好機
関す,関し
遠ざける,遠ざけ
北方,北方
不慣れ,不慣れ
性悪,性悪
サムライ,サムライ
装束,装束
目下,目下
難題,難題
力強い,力強い
ポテンシャル,ポテンシャル
語り合う,語り合う
笛,笛
練り,練り
黒曜石,黒曜石
てく,てく
熱意,熱意
枕元,枕元
取りつかれる,取りつかれ
背く,背い
雨漏り,雨漏り
抱き合う,抱き合っ
分かつ,分かち
誇らしい,誇らしく
ゆかり,ゆかり
運び込む,運び込ん
装飾,装飾
改ざん,改ざん
ぞろい,ぞろい
叩く,叩か
取捨選択,取捨選択
ラボ,ラボ
持ち込める,持ち込め
かける,かけよ
西洋,西洋
粒子,粒子
吐き出す,吐き出し
長引く,長引く
兆候,兆候
めくる,めくっ
配達,配達
月餅,月餅
風習,風習
二日酔い,二日酔い
相思相愛,相思相愛
ボロい,ボロ
続ける,続けよ
中華,中華
臭い,臭く
持ち込み,持ち込み
こんち,こんち
真珠,真珠
努める,努め
財,財
魔よけ,魔よけ
黙る,黙る
豊作,豊作
混ざる,混ざり
無口,無口
闘う,闘っ
一級,一級
ごまかし,ごまかし
やす,やせ
喰う,喰う
高まる,高まる
太る,太り
執務,執務
手口,手口
ランタン,ランタン
親和,親和
片道,片道
あっし,あっし
トランク,トランク
ビン,ビン
ごくごく,ごくごく
化す,化し
漁,漁
かする,かすっ
よみがえる,よみがえる
風格,風格
みすみす,みすみす
きおう,きおっ
並ぶ,並ば
致し方,致し方
くすぶる,くすぶっ
買いかぶる,買いかぶり
愛用,愛用
締める,締め
身の程知らず,身の程知らず
宿敵,宿敵
退職,退職
打ち倒す,打ち倒し
齢,齢
疑惑,疑惑
こう,こい
まごう,まごう
衰える,衰え
慕う,慕う
慕う,慕い
落ちぶれる,落ちぶれ
気色,気色
家主,家主
御前,御前
だに,だに
見せ物,見せ物
没落,没落
侮る,侮っ
指摘,指摘
若輩,若輩
湧く,湧か
香ばしい,香ばしい
日食,日食
持久,持久
外す,外せ
敷,敷
分量,分量
構える,構えろ
陣形,陣形
延びる,延び
こい,こく
使える,使えれ
使いこなす,使いこなす
お通し,お通し
嫡子,嫡子
手腕,手腕
しかるべき,しかるべき
補,補
掲げる,掲げ
貸せる,貸せ
差し,差し
蜂蜜,蜂蜜
深み,深み
敷く,敷か
握る,握れ
茶菓子,茶菓子
発案,発案
常駐,常駐
立ち向かう,立ち向かい
応接,応接
段落,段落
やり過ごす,やり過ごす
嫡男,嫡男
不穏,不穏
駐輪場,駐輪場
グッド,グッド
表明,表明
コスチューム,コスチューム
ヤード,ヤード
繊維,繊維
短絡,短絡
頭部,頭部
回線,回線
ふける,ふけっ
非常時,非常時
桜餅,桜餅
帆,帆
議員,議員
吹っ切れる,吹っ切れ
回廊,回廊
卸す,卸し
記す,記さ
農作業,農作業
無愛想,無愛想
爺さん,爺さん
日課,日課
用心棒,用心棒
踏み出す,踏み出し
近辺,近辺
駆り出す,駆り出さ
仕立て屋,仕立て屋
揃える,揃える
取り合う,取り合う
まぶしい,まぶしく
物静か,物静か
たまる,たまん
リニューアル,リニューアル
殺意,殺意
古文,古文
バニラ,バニラ
取り返す,取り返す
今生,今生
かっこよい,かっこよ
ささやく,ささやい
引っ掛ける,引っ掛け
大技,大技
ためらう,ためらっ
ぬ,ざれ
珍味,珍味
狙う,狙い
きが,きが
たく,たい
とぶ,とび
妖術,妖術
腐る,腐り
開祖,開祖
段違い,段違い
虐げる,虐げ
取り押さえる,取り押さえろ
弾道,弾道
受け止める,受け止める
伍,伍
両足,両足
けり,けり
すき焼き,すき焼き
勘定,勘定
うごめく,うごめく
力量,力量
出稽古,出稽古
見くびる,見くびっ
上納,上納
優男,優男
不問,不問
介す,介さ
裏切る,裏切り
加わる,加わり
殴り込み,殴り込み
師範代,師範代
お膳立て,お膳立て
かじる,かじっ
ぬる,ぬら
畏怖,畏怖
頼む,頼も
最小,最小
汚名,汚名
人混み,人混み
即決,即決
後先,後先
侵食,侵食
気がつく,気がつけ
寛容,寛容
たんと,たんと
ソング,ソング
中世,中世
縁結び,縁結び
たくらむ,たくらみ
休,休
特有,特有
常世,常世
彼女ら,彼女ら
まがい物,まがい物
挑む,挑ま
路線,路線
みじめ,みじめ
思い込み,思い込み
乗り気,乗り気
競う,競う
凡人,凡人
輝かしい,輝かしい
類似,類似
挙句,挙句
同格,同格
替え玉,替え玉
恩恵,恩恵
覆う,覆い
志向,志向
観戦,観戦
ハラ,ハラ
プライバシー,プライバシー
他校,他校
アポ,アポ
というのも,というのも
可視,可視
筋金入り,筋金入り
創設,創設
磨く,磨い
出陣,出陣
ひよっこ,ひよっこ
蹂躙,蹂躙
一覧,一覧
血まみれ,血まみれ
全能,全能
生き残れる,生き残れる
異動,異動
人命,人命
通り名,通り名
戦友,戦友
尼寺,尼寺
人道的,人道的
挙手,挙手
人身,人身
毛布,毛布
あたる,あたり
菊,菊
感づく,感づか
急げる,急げ
不機嫌,不機嫌
かゆい,かゆく
殿方,殿方
練る,練っ
クリスマスイブ,クリスマスイブ
イブ,イブ
練る,練る
トッピング,トッピング
ショコラ,ショコラ
しがない,しがない
召す,召す
がり,がり
悪質,悪質
名高い,名高い
西方,西方
保守,保守
済ませる,済ませよ
高名,高名
立ち合う,立ち合い
流す,流せ
真っ平,真っ平
驚かす,驚かさ
たまらない,たまらなく
愛らしい,愛らしい
たつ,たち
残る,残れ
熾,熾
再臨,再臨
上り,上り
等分,等分
難解,難解
よみがえる,よみがえら
絹,絹
めった,めった
時代遅れ,時代遅れ
記述,記述
結びつける,結びつける
なくなる,なくなれ
治せる,治せ
売り切れる,売り切れ
ふるまう,ふるまい
寝間着,寝間着
自室,自室
生む,生み
手っ取り早い,手っ取り早い
家柄,家柄
防音,防音
聴覚,聴覚
過敏,過敏
発声,発声
祖先,祖先
住まう,住まう
縫う,縫い
引き裂く,引き裂く
門番,門番
卑しい,卑しい
掛け合う,掛け合っ
吸い取る,吸い取っ
気味悪い,気味悪い
やる,やりゃ
風向き,風向き
好む,好ま
ろうそく,ろうそく
幻術,幻術
さだめる,さだめ
定住,定住
移民,移民
染みつく,染みつい
供給,供給
つなぐ,つなぎ
口外,口外
封じ,封じ
火の粉,火の粉
夜道,夜道
意味合い,意味合い
おおよそ,おおよそ
点検,点検
未知数,未知数
手いっぱい,手いっぱい
看破,看破
塀,塀
おっしゃる,おっしゃら
激しい,激し
末永い,末永く
なにとぞ,なにとぞ
戦記,戦記
斥候,斥候
移譲,移譲
一任,一任
照らす,照らす
必勝,必勝
謀反,謀反
半径,半径
求む,求む
お仕置き,お仕置き
怖気,怖気
詰め所,詰め所
面白い,面白かっ
退く,退い
樹海,樹海
サイクロン,サイクロン
副作用,副作用
拍子抜け,拍子抜け
欲しい,欲しけれ
建国,建国
引っ越す,引っ越す
そろえる,そろえる
研ぐ,研ぎ
積,積
消,消
まき散らす,まき散らす
透き通る,透き通る
バネ,バネ
波紋,波紋
みえる,みえ
片付ける,片付けろ
栓,栓
詰まる,詰まる
研ぐ,研い
高速,高速
継子,継子
みたらし,みたらし
売れっ子,売れっ子
づく,づき
追い付く,追い付か
示す,示せ
連発,連発
一閃,一閃
四肢,四肢
取り立てる,取り立てる
グルグル,グルグル
明ける,明ける
受け流す,受け流す
奏,奏
ちまちま,ちまちま
亡くなる,亡くなら
旋回,旋回
あわせる,あわせ
唄,唄
火葬,火葬
下層,下層
破談,破談
密度,密度
振り落とす,振り落とさ
振れる,振れ
右側,右側
途切れる,途切れ
ひねり,ひねり
ねじ,ねじ
まぶた,まぶた
見届ける,見届ける
もむ,もま
ばく大,ばく大
連れ去る,連れ去ら
はせ参じる,はせ参じ
届け先,届け先
テラ,テラ
攻め込む,攻め込ま
じゃう,じゃお
グレイ,グレイ
終結,終結
薬代,薬代
駄,駄
たゆむ,たゆま
たぶらかす,たぶらかす
もつ,もち
人となり,人となり
強要,強要
ありふれる,ありふれ
客席,客席
顔合わせ,顔合わせ
たいして,たいして
落ち着ける,落ち着けよ
サバイバル,サバイバル
砂浜,砂浜
輝く,輝き
単,単
笑い事,笑い事
ニワトリ,ニワトリ
ひよこ,ひよこ
宣,宣
ドロドロ,ドロドロ
活かす,活かし
激闘,激闘
おちる,おち
屁理屈,屁理屈
逃避,逃避
紅い,紅い
手軽,手軽
出没,出没
劇的,劇的
可愛い,可愛く
暗黒,暗黒
養殖,養殖
学び舎,学び舎
祝祭,祝祭
課する,課せ
ところてん,ところてん
慕う,慕わ
暴れる,暴れん
つぶやく,つぶやい
徘徊,徘徊
照会,照会
栗,栗
隅っこ,隅っこ
需要,需要
ブツブツ,ブツブツ
楼閣,楼閣
囲む,囲ん
お古,お古
探求,探求
割る,割ら
オリジン,オリジン
こける,こけ
きっする,きっしょ
阻む,阻む
ガスマスク,ガスマスク
ぬくぬく,ぬくぬく
球技,球技
乳首,乳首
整う,整う
人望,人望
目先,目先
もたもた,もたもた
ティーン,ティーン
目指す,目指せ
ともす,ともす
きく,きき
ただちに,ただちに
目印,目印
ムカデ,ムカデ
乗っかる,乗っかっ
必ずしも,必ずしも
場数,場数
生きる,生きれ
つきまとう,つきまとう
堪える,堪え
いそ,いそ
乗船,乗船
もつれる,もつれ
保てる,保て
数刻,数刻
果たし合い,果たし合い
怪我,怪我
患う,患っ
断片,断片
一宿一飯,一宿一飯
重心,重心
表す,表す
思い知る,思い知れ
鉄心,鉄心
さしずめ,さしずめ
裏返し,裏返し
いびき,いびき
立ち去る,立ち去れ
調べる,調べろ
くどい,くどい
たたむ,たたん
上質,上質
心置き,心置き
あらがう,あらがう
腕相撲,腕相撲
実態,実態
余力,余力
フェアリー,フェアリー
中立,中立
戸籍,戸籍
築く,築く
交信,交信
自動的,自動的
悟る,悟ら
ひんやり,ひんやり
詭弁,詭弁
東部,東部
荒事,荒事
頭蓋骨,頭蓋骨
最高峰,最高峰
後続,後続
ほど遠い,ほど遠い
難民,難民
返上,返上
承認,承認
チャラ,チャラ
支給,支給
振り返る,振り返る
ときめく,ときめく
潰せる,潰せる
正しい,正しかっ
助く,助く
良好,良好
エンジン,エンジン
移す,移す
理科,理科
極秘,極秘
校門,校門
ワル,ワル
カルビ,カルビ
送る,送ろ
ようし,ようし
読者,読者
傷つく,傷つき
公道,公道
少佐,少佐
閉める,閉める
愛し合う,愛し合う
招待客,招待客
おみやげ,おみやげ
多忙,多忙
存じ上げる,存じ上げ
授乳,授乳
お墨付き,お墨付き
召集,召集
いたって,いたって
国宝,国宝
貧乏神,貧乏神
フィルター,フィルター
なじめる,なじめ
代目,代目
竜巻,竜巻
カチューシャ,カチューシャ
やむなく,やむなく
予行,予行
時給,時給
情緒,情緒
卑屈,卑屈
リヤカー,リヤカー
沈める,沈め
はう,はい
まつげ,まつげ
ちる,ちろ
まったり,まったり
気負う,気負わ
おつき,おつき
描写,描写
立ち聞き,立ち聞き
契り,契り
ふるまう,ふるまっ
まとまる,まとまら
はしご,はしご
ふもと,ふもと
無性に,無性に
ぐふ,ぐふ
引き渡し,引き渡し
連載,連載
ためる,ためる
ふわっと,ふわっと
引く,引け
小石,小石
合鍵,合鍵
浴槽,浴槽
煮込む,煮込ん
名刺,名刺
みなぎる,みなぎる
連鎖,連鎖
党,党
調べる,調べよ
自白,自白
吹き込む,吹き込む
届ける,届けろ
かぶせる,かぶせ
当選,当選
見破る,見破ら
ハズ,ハズ
運ぶ,運べ
肩書,肩書
根気,根気
寝起き,寝起き
まぶしい,まぶしかっ
開き,開き
ベビーシッター,ベビーシッター
週刊,週刊
渇き,渇き
進撃,進撃
園児,園児
リアルタイム,リアルタイム
寄生虫,寄生虫
寄り添う,寄り添っ
まちまち,まちまち
終盤,終盤
天性,天性
グローブ,グローブ
トレース,トレース
割合,割合
コスト,コスト
錯覚,錯覚
藁,藁
日数,日数
熱っぽい,熱っぽい
止める,止めれ
焦る,焦り
入賞,入賞
奏者,奏者
公正,公正
劣る,劣ら
前言,前言
日ごろ,日ごろ
かたわら,かたわら
泊り,泊り
お母ちゃん,お母ちゃん
たか,たか
加担,加担
すっぽかす,すっぽかし
客足,客足
聡い,聡い
暖かい,暖かく
プリンス,プリンス
出どころ,出どころ
ジャンク,ジャンク
増大,増大
温室,温室
出港,出港
方式,方式
ばつ,ばつ
やり合う,やり合う
構想,構想
ふかふか,ふかふか
ハーフ,ハーフ
政略,政略
身軽,身軽
昇る,昇っ
動向,動向
滑り,滑り
全日本,全日本
裂帛,裂帛
前のめり,前のめり
剛,剛
白黒,白黒
ったらしい,ったらしい
縄文,縄文
明るい,明る
墓石,墓石
カムフラージュ,カムフラージュ
クッション,クッション
九曜,九曜
終業,終業
託す,託さ
天体,天体
入選,入選
リレー,リレー
くすぐる,くすぐる
ダクト,ダクト
臨界,臨界
散る,散れ
医師,医師
小銃,小銃
良い,良き
のみ込む,のみ込ま
船内,船内
装填,装填
水害,水害
おぶる,おぶっ
壊乱,壊乱
住む,住ま
直々,直々
叡智,叡智
セオリー,セオリー
腕試し,腕試し
おなご,おなご
運び出す,運び出す
野良犬,野良犬
人影,人影
とりこ,とりこ
なさる,なさん
流石,流石
暇つぶし,暇つぶし
ゆだねる,ゆだね
楽屋,楽屋
三流,三流
指切り,指切り
完売,完売
おこがましい,おこがましい
イヤリング,イヤリング
わく,わい
甚大,甚大
風力,風力
アクション,アクション
風車,風車
実用,実用
ズバリ,ズバリ
皇宮,皇宮
気高い,気高い
人口,人口
酒造り,酒造り
弓引く,弓引く
くぎ,くぎ
被,被
蒸気,蒸気
かめ,かめ
出歩く,出歩い
見合う,見合う
罪滅ぼし,罪滅ぼし
首飾り,首飾り
連打,連打
切り出す,切り出し
揚げたて,揚げたて
かてる,かて
おびただしい,おびただしい
仮死,仮死
いぶす,いぶし
取り除く,取り除く
堅牢,堅牢
食用,食用
歪む,歪ん
騎乗,騎乗
クーラー,クーラー
雪景色,雪景色
エスカレーター,エスカレーター
上方,上方
社務,社務
抱っこ,抱っこ
前借り,前借り
提灯,提灯
文書,文書
じゃあじゃあ,じゃあじゃあ
使い込む,使い込ん
ハマチ,ハマチ
授与,授与
リセット,リセット
かしこまる,かしこまら
慣れる,慣れれ
登る,登り
フェスティバル,フェスティバル
丸い,丸い
テストパイロット,テストパイロット
取次,取次
温かい,温か
ひらめく,ひらめけ
人騒がせ,人騒がせ
虫歯,虫歯
歯医者,歯医者
冬眠,冬眠
会期,会期
選考,選考
榊,榊
見積もる,見積もっ
正規,正規
要る,要っ
参列,参列
山盛り,山盛り
男らしい,男らし
分る,分
収監,収監
円滑,円滑
カクテル,カクテル
寄付,寄付
損害,損害
月影,月影
ねェ,ねェ
失点,失点
ボクシング,ボクシング
ホームラン,ホームラン
石段,石段
一巡,一巡
足す,足す
吹雪く,吹雪い
大晦日,大晦日
さむい,さむ
わさび,わさび
好む,好ん
無表情,無表情
うつけ,うつけ
寄り添う,寄り添う
生きる,生きよ
秘伝,秘伝
本懐,本懐
ネオ,ネオ
張り切り,張り切り
武者,武者
軸,軸
中堅,中堅
ほうれん草,ほうれん草
たまねぎ,たまねぎ
炭酸,炭酸
玉ねぎ,玉ねぎ
みりん,みりん
和牛,和牛
命じる,命じろ
伏せる,伏せろ
艦橋,艦橋
叔母,叔母
霧散,霧散
プリズム,プリズム
パウダー,パウダー
